overall_rank,index,merchant_abn,name,tags,tag,numd_sa2_code,returning_customers,unique_customers,median_weekly_income,commission_avg_tot_dollar_value_monthly,avg_num_order_id_monthly,avg_discounted_value,stddev_tot_dollar_value_monthly,rate_fraud_order,stddev_tot_discounted_value_daily,minmax_numd_sa2_code,minmax_returning_customers,minmax_unique_customers,minmax_median_weekly_income,minmax_commission_avg_tot_dollar_value_monthly,minmax_avg_num_order_id_monthly,minmax_avg_discounted_value,minmax_stddev_tot_dollar_value_monthly,minmax_rate_fraud_order,minmax_stddev_tot_discounted_value_daily,average_minmax
1,1926,86578477987,Leo In Consulting,"[[watch, clock, and jewelry repair shops], [a], [take rate: 6.43]]","watch, clock, and jewelry repair shops",2222.0,24058.0,24081.0,815.6864322492218,29204.22705934659,12911.47619047619,32.95948167526246,129955.54230001628,0.06269864474987587,3201.5788698980773,0.0,0.00041548944656810693,0.0,0.9001293440956393,0.01804476558283752,0.056946792156208015,0.98697866904229,0.9466001459564777,0.013723825988777959,0.696584072701611,0.36194231049704095
2,148,49891706470,Non Vestibulum Industries,"((teNt and awning shops), (a), (take rate: 5.80))",tent and awning shops,2222.0,24037.0,24078.0,815.703894172373,19807.260485689607,11786.952380952382,27.155715057374433,98783.1714347007,0.06257732903933447,2441.769410414059,0.0,0.0012880172843610094,0.0001245847176080117,0.9001247570468376,0.33400589326118246,0.13908192296722932,0.9901221509419161,0.7195396428900109,0.010931983096372703,0.5312683990067016,0.362648735121222
3,1868,63290521567,Vehicula Pellentesque Corporation,"((artist supply and craft shops), (a), (take rate: 6.48))",artist supply and craft shops,2222.0,23346.0,24058.0,815.6636968011688,13544.9092035367,8017.809523809524,24.428342424459068,60940.07200468776,0.06253910102593746,1570.2853662154614,0.0,0.029998338042213746,0.00095514950166109,0.9001353164395125,0.5445695424470638,0.41437982150434416,0.9915993720415173,0.44388934887487647,0.010052240423169753,0.34165510835500024,0.36772342376293593
4,1327,45629217853,Lacus Consulting,"[[gift, Card, novelty, and souvenir shops], [a], [take rate: 6.98]]","gift, card, novelty, and souvenir shops",2222.0,23945.0,24080.0,815.6794424831191,27867.912781234365,10319.047619047618,36.23759602704058,117865.5572876259,0.06275489134568284,3012.183528744835,0.0,0.005110520192787127,4.152823920267057e-05,0.9001311802277736,0.06297664470951803,0.24629757159651355,0.9852031508644987,0.8585363252467784,0.01501823095928744,0.6553763488089815,0.37286915008453414
5,495,89726005175,Est Nunc Consulting,"((tent and awning shops), (a), (take rate: 6.01))",tent and awning shops,2222.0,23930.0,24079.0,815.6881623284935,25495.90713140523,10280.47619047619,38.66216306190248,123064.78931940052,0.06281600457680674,3062.9216737257498,0.0,0.005733754362639232,8.305647840534114e-05,0.9001288896234725,0.1427323375817715,0.24911482571283483,0.983889937723738,0.8964076904308613,0.01642463198668737,0.666415709420846,0.3860930833321256
6,2282,64203420245,Pede Nonummy Corp.,"((tent and awning shops), (c), (take rate: 2.86))",tent and awning shops,2222.0,24055.0,24081.0,815.6864322492218,10281.625408766271,12418.095238095239,27.133322903024567,104134.79557100359,0.06259078260833868,2559.5540793348123,0.0,0.0005401362805385057,0.0,0.9001293440956393,0.6542933367851844,0.09298329820460915,0.990134279157354,0.7585210368257422,0.011241590572884036,0.5568954185844642,0.3964738440506416
7,3143,24852446429,Erat Vitae LLP,"[(florists supplies, nursery stock, and floWers), (c), (take rate: 2.94)]","florists supplies, nursery stock, and flowers",2222.0,24068.0,24080.0,815.6885761002287,12174.827693927546,13691.142857142857,28.344408349169854,119434.37319930611,0.06261058499258221,2941.8670126081897,0.0,0.0,4.152823920267057e-05,0.9001287809303391,0.5906368020668764,0.0,0.9894783214958028,0.8699636283436094,0.011697303567155268,0.6400772207290251,0.4002023585372011
8,2231,46804135891,Suspendisse Dui Corporation,"((opticians, optical goods, and eyeglasses), (c), (take rate: 2.93))","opticians, optical goods, and eyeglasses",2222.0,23945.0,24078.0,815.6879575405007,9807.484640084494,10482.285714285714,29.914222099379113,96556.85945191442,0.06265646900302929,2464.903116314685,0.0,0.005110520192787127,0.0001245847176080117,0.9001289434189513,0.6702357210404335,0.23437467392892175,0.9886280665778401,0.7033231182958931,0.01275323398103207,0.5363017190427789,0.4050980581196246
9,604,43186523025,Lorem Ipsum Sodales Industries,"([florists supplies, nurSery stock, and flowers], [b], [take rate: 4.47])","florists supplies, nursery stock, and flowers",2222.0,23814.0,24076.0,815.7052122146213,19246.311511320746,9564.095238095239,42.17596687841619,125497.79234946598,0.06287095576573161,3173.0171741311974,0.0,0.01055343194282865,0.00020764119601324182,0.9001244108121151,0.3528670937477796,0.30143923426337493,0.981986763557154,0.9141297589368401,0.017689225711147907,0.6903697568377664,0.41693673170050205
10,3702,68216911708,Placerat Eget Venenatis Limited,"[[computers, computer peripheral equipment, and software], [c], [take rate: 3.05]]","computers, computer peripheral equipment, and software",2222.0,23576.0,24064.0,815.6804708071522,10112.342712479292,8484.380952380952,36.606293246027654,95475.60843497574,0.06277908637805213,2375.772774206224,0.0,0.020442080771148397,0.0007059800664451776,0.9001309100987344,0.6599852535538581,0.3803014809713614,0.9850034541656763,0.6954472528088571,0.01557503212584923,0.516909169544482,0.4174500614106412
11,3091,91923722701,Euismod Urna Institute,"((tent and awning shops), (b), (take rate: 5.05))",tent and awning shops,2222.0,12873.0,22731.0,813.4092113160411,2583.20850335127,3255.2380952380954,14.731138548293837,14883.414612964709,0.06233247692259461,403.4442976429798,0.0,0.46514043543294004,0.05606312292358806,0.9007275441599877,0.9131428780394691,0.7622376649484894,0.9968516481698778,0.10841124738210876,0.005297192361027083,0.08777946237799056,0.42956511957954785
12,2089,64403598239,Lobortis Ultrices Company,"((music shops - musical instruments, pianos, and sheet music), (a), (take rate: 6.31))","music shops - musical instruments, pianos, and sheet music",2222.0,20521.0,23875.0,815.8917058514319,26662.55791011827,5406.714285714285,73.15670734035129,121148.14382249556,0.06350767828951563,3066.0822552618997,0.0,0.1473741066976899,0.008554817275747473,0.9000754210527487,0.10350517924725611,0.6050940128132891,0.9652067302975559,0.8824467859937997,0.03234214448422078,0.6671033734916134,0.43117025713539214
13,2535,72472909171,Nullam Consulting,"([digiTal goods: books, movies, music], [a], [take rate: 6.33])","digital goods: books, movies, music",2222.0,19097.0,23744.0,815.5433494805519,21518.723505353613,4840.238095238095,65.73975105935999,98358.96169819769,0.06333250248778069,2570.3670889818204,0.0,0.2065398038889812,0.013995016611295652,0.9001669303131987,0.2764601117119797,0.6464693893166942,0.9692239607195638,0.7164496861911049,0.028310817339430312,0.5592480610162637,0.4316863777108513
14,2070,57900494384,Porttitor Tellus Corporation,"[[tent and awning shops], [a], [take rate: 6.39]]",tent and awning shops,2222.0,12136.0,22468.0,817.2186616681535,4220.278080561166,3081.6666666666665,20.088872390522276,18897.730135495392,0.06240860561668249,504.38184292168773,0.0,0.4957620076450058,0.06698504983388709,0.8997268448371587,0.8580984819943469,0.7749153084719353,0.9939497500638875,0.13765164446167544,0.007049144787871321,0.1097409661347242,0.43438791982304925
15,1906,80324045558,Ipsum Dolor Sit Corporation,"[(gift, card, novelty, and souvenir shops), (c), (take rate: 1.47)]","gift, card, novelty, and souvenir shops",2222.0,23652.0,24070.0,815.7211213818103,5047.509042553624,8900.857142857143,36.129340568114884,98397.55020188124,0.06278439597592696,2480.2313670196495,0.0,0.017284360977231183,0.00045681063122926524,0.9001202316546616,0.8302838861295175,0.34988209269809467,0.9852617850409006,0.7167307660325076,0.015697222096317315,0.5396367658235552,0.43553539210840153
16,748,96152467973,Rhoncus Donec Associates,"[[tent and awning shops], [b], [take rate: 4.45]]",tent and awning shops,2222.0,12353.0,22514.0,817.6568968085769,2968.0149411621783,3131.3333333333335,19.964506907048808,19430.346791698998,0.062468129005811966,549.0363365937005,0.0,0.48674588665447893,0.0650747508305648,0.8996117254451923,0.9002042477830347,0.7712876590357339,0.9940171098789827,0.14153124048026802,0.008418958723192527,0.11945667526778367,0.4386348254099232
17,3347,21439773999,Mauris Non Institute,"([cable, satellite, and other pay television and radio services], [a], [take rate: 6.10])","cable, satellite, and other pay television and radio services",2222.0,21085.0,23914.0,815.866001606687,27381.747637317032,5737.952380952381,73.20450443428271,130356.13815104312,0.06350109671195353,3445.498317464475,0.0,0.1239405019112515,0.006935215946843876,0.9000821732657801,0.07932333338888897,0.5809004083279423,0.9651808420581555,0.9495180983911351,0.03219068239859672,0.7496548884152147,0.43877261441038085
18,3975,82065156333,Nascetur Ridiculus PC,"([tent and awning shops], [a], [take rate: 5.88])",tent and awning shops,2222.0,11602.0,22165.0,817.510056880826,3736.9897125982325,2964.714285714286,20.09335267523166,18221.60356147211,0.062404831222535546,497.0044725337482,0.0,0.5179491440917401,0.07956810631229239,0.8996502986257517,0.8743484427171474,0.7834575011999416,0.9939473234167088,0.13272671781116036,0.006962284517051898,0.10813583350501553,0.43967456521968096
19,1243,17324645993,Eget Metus In Corporation,"([tent and awning shops], [a], [take rate: 5.73])",tent and awning shops,2211.0,10091.0,21813.0,817.356831838917,2399.4015927314563,2695.5714285714284,14.563588658028301,11877.87786365579,0.06231338743925778,337.1269838625725,0.004952723998199016,0.5807295994681735,0.09418604651162787,0.8996905491032502,0.9193231531632857,0.8031156743671612,0.9969423978643454,0.08651882574913758,0.0048578853814465065,0.07335046143782087,0.44636673170444485
